profile,horizon_days,fold,training_rows,validation_rows,features,best_iteration,rmsle,log_r2,wape_pct,total_view_capture_pct,median_absolute_error_views
compact_v4,21,2,22893,5723,76,124,1.7502517137340892,0.4749368935083871,87.0909275662255,23.99291850202877,1510.8787270810535
compact_v4,21,3,22893,5723,76,69,1.9169276260490917,0.5036974799421791,89.75842202357325,15.349953482703233,991.813131031935
compact_v4,21,4,22893,5723,76,122,1.6844930433068936,0.5641814089527483,91.45121340352532,32.34972554426237,1502.2488091956197
compact_v4,21,5,22893,5723,76,159,1.8440590982434084,0.4572705569152441,88.10152637578454,28.740190370286733,660.4543614504925
compact_v4,30,1,22892,5724,76,98,1.7848910681236825,0.267772810033193,91.3909286405943,23.22342040745142,717.4482026263486
compact_v4,30,2,22893,5723,76,131,1.746633372057021,0.47320013142972883,87.47024688822977,24.36296240021068,1550.4753644755856
compact_v4,30,3,22893,5723,76,91,1.8897001635432635,0.5125039461155444,89.41207029293427,15.982608376404068,1062.9923503188747
compact_v4,30,4,22893,5723,76,122,1.6918993719375388,0.5551971442236832,91.9124725525514,28.98001234823945,1503.951733633041
compact_v4,30,5,22893,5723,76,233,1.8269675394728053,0.46550471605401744,88.16904501937827,25.389860837470295,678.2610557531252
enhanced_v5,7,1,22892,5724,91,139,1.7741390356755757,0.2836262640221009,90.88813753914141,27.448509622582712,734.7621975754631
enhanced_v5,7,2,22893,5723,91,131,1.7143190319600647,0.5032122087289854,86.06925650663243,27.52069986805849,1331.3503645464712
enhanced_v5,7,3,22893,5723,91,163,1.741685529867513,0.6012053643596105,86.61879464133165,20.443327883417727,967.9097522200198
enhanced_v5,7,4,22893,5723,91,219,1.6803933411603733,0.580174319994597,91.26539981979236,29.705193794812875,1437.9909709594408
enhanced_v5,7,5,22893,5723,91,189,1.832919101684325,0.4771769371879746,86.59457335083901,28.35857822583247,551.9440777802699
enhanced_v5,14,1,22892,5724,91,107,1.798334197212351,0.26061898405733563,90.11068063357305,27.17021436630869,866.3893177330974
enhanced_v5,14,2,22893,5723,91,69,1.7482728176267652,0.47943793655508105,87.77235196409795,22.629644583224994,1383.6319714005767
enhanced_v5,14,3,22893,5723,91,112,1.7754051276914466,0.5785523268751172,88.98789784766409,17.350511477850247,1012.5536614674506
enhanced_v5,14,4,22893,5723,91,156,1.6815595509838164,0.5704514532225597,90.09581228162878,30.063058303042666,1565.745323657352
enhanced_v5,14,5,22893,5723,91,202,1.8197699662189128,0.4767668076789586,86.32871138944893,28.676805309624765,581.1473378084896
enhanced_v5,21,1,22892,5724,91,70,1.8143956953207938,0.24583634105557728,91.69453733596539,21.619069632585724,795.9296512569219
enhanced_v5,21,2,22893,5723,91,142,1.7282999917589388,0.4880250216177494,86.9236766523572,24.461475897742627,1377.400251935327
enhanced_v5,21,3,22893,5723,91,161,1.7390797749766165,0.5915169346185224,87.7199412148266,18.791522208417312,968.5676473970711
enhanced_v5,21,4,22893,5723,91,109,1.6702692031910493,0.5715104291364574,89.96562289707695,26.605041842291516,1507.2156814505365
enhanced_v5,21,5,22893,5723,91,187,1.8171077442593053,0.473018862053063,86.51828451238288,29.061787614463725,602.7957898366689
enhanced_v5,30,1,22892,5724,91,135,1.7927792830496259,0.26128644365233333,91.12051635167076,26.00023522607808,868.3183643652123
enhanced_v5,30,2,22893,5723,91,140,1.732855852767081,0.4814781934166422,87.45934726088947,26.190164627084293,1532.3958393220346
enhanced_v5,30,3,22893,5723,91,109,1.7242874724335415,0.5941134603822387,88.87320895494419,17.1882845107992,1046.9102408364968
