category_name,duration_seconds,is_short,default_language,publish_hour_slt,publish_dow_slt,publish_is_weekend,tag_count,ch_subs_at_publish,ch_videos_at_publish,channel_age_days_at_publish,d30_views,publish_time_bucket,subscriber_tier,ch_avg_views_per_video_at_publish,topic_entertainment,topic_fashion,topic_food,topic_gaming,topic_health,topic_hobby,topic_humour,topic_knowledge,topic_lifestyle,topic_music,topic_pet,topic_politics,topic_religion,topic_society,topic_sports,topic_technology,topic_tourism,topic_vehicle,topic_missing
Entertainment,69.0,False,si,18,4,False,0,1460000.0,1882.0,5933.210925925926,319.0,evening,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Entertainment,2917.0,False,si,10,5,True,0,2590.0,152.0,669.630712450845,136.0,morning_afternoon,1k_to_10k,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Education,1335.0,False,en,20,6,True,22,183000.0,777.0,1777.4228338965856,2501.0,evening,100k_to_250k,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
News & Politics,44.0,True,si,22,0,False,19,3760000.0,163923.0,3828.223761574074,394.0,late_night,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,643.0,False,si,16,2,False,41,917000.0,65293.0,2529.2330439814814,13087.0,evening,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Howto & Style,373.0,False,si,8,5,True,0,15300.0,739.0,525.130593307986,234.0,morning_afternoon,10k_to_100k,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
News & Politics,168.0,False,si,8,6,True,19,3760000.0,163923.0,3826.6599652777777,502.0,morning_afternoon,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Entertainment,23.0,True,si,16,2,False,32,5300000.0,12023.0,4249.026944444445,82189.0,evening,1m_plus,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
News & Politics,79.0,False,si,15,2,False,19,3760000.0,163923.0,3829.95599537037,3011.0,evening,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,131.0,False,si,4,4,False,18,287000.0,10213.0,1229.8978745648958,167.0,early_morning,250k_to_500k,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
,2195.0,False,si,18,5,True,21,9720.0,1902.0,1292.237130139884,1084.0,evening,1k_to_10k,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Entertainment,5522.0,False,en,5,3,False,0,9220.0,127.0,2534.320324074074,80.0,early_morning,1k_to_10k,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Music,61.0,False,si,6,6,True,0,46000.0,561.0,1785.5923376537382,9062.0,morning_afternoon,10k_to_100k,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Autos & Vehicles,8.0,True,si,20,5,True,0,68900.0,1162.0,1413.925258226933,24000.0,evening,10k_to_100k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Entertainment,110.0,False,en,9,2,False,29,1560000.0,47279.0,4356.0240277777775,448.0,morning_afternoon,1m_plus,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
