video_id,captured_at,view_count,like_count,comment_count,live_broadcast_content,live_actual_start_time,live_actual_end_time,live_concurrent_viewers
5H8yvSdbzXY,2026-07-17T19:09:31.339265+00:00,279,5,4,none,,,
MztY5mDxyk8,2026-07-17T19:09:31.339265+00:00,53,2,0,none,,,
AP0B1E_55_0,2026-07-17T19:09:31.339265+00:00,1889,49,0,none,,,
wbOotho5mt8,2026-07-17T19:09:31.339265+00:00,539,9,1,none,,,
Mm2DLjdi3CI,2026-07-17T19:09:31.339265+00:00,3206,20,15,none,,,
2I61ziiOxs4,2026-07-17T19:09:31.339265+00:00,62,1,0,none,,,
tZ8hla_qTxQ,2026-07-17T19:09:31.339265+00:00,5253,161,17,none,,,
DbSN9s8z94M,2026-07-17T19:09:31.339265+00:00,329,5,2,none,,,
_C4aoWHVsDo,2026-07-17T19:09:31.339265+00:00,16669,140,18,none,,,
ab1UC_vh3Wc,2026-07-17T19:09:31.339265+00:00,13,1,0,none,,,
CxBzFCfpolE,2026-07-17T19:09:31.339265+00:00,7520,190,5,none,,,
7babOIxmCqw,2026-07-17T19:09:31.339265+00:00,399,1,0,none,,,
DtPcTGfYuEg,2026-07-17T19:09:31.339265+00:00,598,8,12,none,,,
KcsTzsOAdhs,2026-07-17T19:09:31.339265+00:00,413,8,5,none,,,
XPDgNq8pg8k,2026-07-17T19:09:31.339265+00:00,34,0,0,none,,,
zrnhmtAnmwI,2026-07-17T19:09:31.339265+00:00,3947,96,2,none,,,
NJ7bzUkYRJc,2026-07-17T19:09:31.339265+00:00,1146,12,12,none,2026-07-17T03:50:26Z,2026-07-17T03:56:13Z,
9lQ3nn1wvlM,2026-07-17T19:09:31.339265+00:00,1152,59,2,none,,,
oQyxjRdEZp8,2026-07-17T19:09:31.339265+00:00,104956,790,31,none,,,
LKGaBS3neV8,2026-07-17T19:09:31.339265+00:00,475,3,3,none,,,
nvQwPD6Gx_E,2026-07-17T19:09:31.339265+00:00,453,18,1,none,,,
DlbjgPyFcV0,2026-07-17T19:09:31.339265+00:00,7871,286,19,none,2026-07-17T14:30:06Z,2026-07-17T14:49:34Z,
ycljDV62_BM,2026-07-17T19:09:31.339265+00:00,871,11,2,none,,,
TCqfYY4B3RM,2026-07-17T19:09:31.339265+00:00,1426,40,0,none,,,
NRcIQnztxPA,2026-07-17T19:09:31.339265+00:00,7896,309,2,none,,,
MhF2OH2Nu9c,2026-07-17T19:09:31.339265+00:00,1019,16,5,none,,,
DG2coOxA1GA,2026-07-17T19:09:31.339265+00:00,179,5,0,none,,,
df2Y8XOmNyk,2026-07-17T19:09:31.339265+00:00,641,28,2,none,,,
n4qVeAZWIlY,2026-07-17T19:09:31.339265+00:00,126,2,0,none,,,
3HlK4o-RXOs,2026-07-17T19:09:31.339265+00:00,2970,24,16,none,,,
ouj-6_FeWF0,2026-07-17T19:09:31.339265+00:00,37012,1446,436,none,,,
0wgdctihfzE,2026-07-17T19:09:31.339265+00:00,1166,25,0,none,,,
R-0iHXdu0Zc,2026-07-17T19:09:31.339265+00:00,1470,18,4,none,2026-07-17T02:00:06Z,2026-07-17T02:29:30Z,
4MLJ8eniNcU,2026-07-17T19:09:31.339265+00:00,14731,181,13,none,2026-07-17T13:00:06Z,2026-07-17T13:06:08Z,
jnhfZ0SD9Fw,2026-07-17T19:09:31.339265+00:00,868,12,0,none,,,
eAL7d9Uad3w,2026-07-17T19:09:31.339265+00:00,2341,17,18,none,,,
pHiSGvwRSgE,2026-07-17T19:09:31.339265+00:00,220,0,0,none,2026-07-17T03:02:24Z,2026-07-17T03:18:36Z,
6_S4SwXGmmw,2026-07-17T19:09:31.339265+00:00,806,21,0,none,,,
HAG04xhvoOY,2026-07-17T19:09:31.339265+00:00,2462,14,0,none,,,
8oXE-JFqgBQ,2026-07-17T19:09:31.339265+00:00,1126,16,1,none,,,
ahngbWNWa1w,2026-07-17T19:09:31.339265+00:00,161,3,0,none,,,
YnLuhyapyZ0,2026-07-17T19:09:31.339265+00:00,58,0,0,none,,,
Y9zEU-dZabI,2026-07-17T19:09:31.339265+00:00,322,4,0,none,,,
VzsyEOioG3w,2026-07-17T19:09:31.339265+00:00,180435,4914,88,none,,,
9Am0bjluX54,2026-07-17T19:09:31.339265+00:00,714,23,1,none,,,
