horizon,feature,kind,value,count,percent,rank
day_21,is_short,boolean,False,9160,60.66225165562914,1
day_21,is_short,boolean,True,5940,39.33774834437086,2
day_21,definition,categorical,hd,14724,97.50993377483444,1
day_21,definition,categorical,sd,376,2.4900662251655628,2
day_21,caption,boolean,False,15078,99.8543046357616,1
day_21,caption,boolean,True,22,0.1456953642384106,2
day_21,made_for_kids,boolean,False,15061,99.74172185430463,1
day_21,made_for_kids,boolean,True,39,0.2582781456953642,2
day_21,default_language,categorical,si,9412,62.33112582781457,1
day_21,default_language,categorical,en,4252,28.158940397350992,2
day_21,default_language,categorical,en-US,638,4.225165562913907,3
day_21,default_language,categorical,ta,362,2.3973509933774833,4
day_21,default_language,categorical,en-GB,360,2.384105960264901,5
day_21,default_language,categorical,ja,14,0.09271523178807947,6
day_21,default_language,categorical,en-AU,11,0.0728476821192053,7
day_21,default_language,categorical,sk,9,0.059602649006622516,8
day_21,default_language,categorical,ar,7,0.046357615894039736,9
day_21,default_language,categorical,bn,6,0.039735099337748346,10
day_21,default_language,categorical,id,4,0.026490066225165563,11
day_21,default_language,categorical,ru,4,0.026490066225165563,12
day_21,default_language,categorical,ab,3,0.019867549668874173,13
day_21,default_language,categorical,hi,3,0.019867549668874173,14
day_21,default_language,categorical,zh-Hant,2,0.013245033112582781,15
day_21,default_language,categorical,vi,2,0.013245033112582781,16
day_21,default_language,categorical,it,2,0.013245033112582781,17
day_21,default_language,categorical,tr,2,0.013245033112582781,18
day_21,default_language,categorical,ko,1,0.006622516556291391,19
day_21,default_language,categorical,eu,1,0.006622516556291391,20
day_21,default_language,categorical,mt,1,0.006622516556291391,21
day_21,default_language,categorical,en-IN,1,0.006622516556291391,22
day_21,default_language,categorical,en-CA,1,0.006622516556291391,23
day_21,default_language,categorical,ml,1,0.006622516556291391,24
day_21,default_language,categorical,de-DE,1,0.006622516556291391,25
day_21,publish_hour_slt,numeric_discrete,19,1187,7.860927152317881,1
day_21,publish_hour_slt,numeric_discrete,18,1126,7.456953642384106,2
day_21,publish_hour_slt,numeric_discrete,20,992,6.569536423841059,3
day_21,publish_hour_slt,numeric_discrete,17,903,5.9801324503311255,4
day_21,publish_hour_slt,numeric_discrete,15,835,5.529801324503311,5
day_21,publish_hour_slt,numeric_discrete,16,828,5.483443708609271,6
day_21,publish_hour_slt,numeric_discrete,14,793,5.251655629139073,7
day_21,publish_hour_slt,numeric_discrete,12,778,5.152317880794702,8
day_21,publish_hour_slt,numeric_discrete,21,766,5.072847682119205,9
day_21,publish_hour_slt,numeric_discrete,10,736,4.874172185430464,10
day_21,publish_hour_slt,numeric_discrete,11,724,4.7947019867549665,11
day_21,publish_hour_slt,numeric_discrete,13,672,4.450331125827814,12
day_21,publish_hour_slt,numeric_discrete,8,664,4.397350993377484,13
day_21,publish_hour_slt,numeric_discrete,9,660,4.370860927152318,14
day_21,publish_hour_slt,numeric_discrete,7,650,4.304635761589404,15
day_21,publish_hour_slt,numeric_discrete,22,622,4.119205298013245,16
day_21,publish_hour_slt,numeric_discrete,23,530,3.5099337748344372,17
day_21,publish_hour_slt,numeric_discrete,6,471,3.119205298013245,18
day_21,publish_hour_slt,numeric_discrete,0,421,2.7880794701986753,19
day_21,publish_hour_slt,numeric_discrete,5,232,1.5364238410596027,20
day_21,publish_hour_slt,numeric_discrete,1,209,1.3841059602649006,21
day_21,publish_hour_slt,numeric_discrete,2,128,0.847682119205298,22
day_21,publish_hour_slt,numeric_discrete,4,104,0.6887417218543046,23
day_21,publish_hour_slt,numeric_discrete,3,69,0.45695364238410596,24
day_21,publish_dow_slt,numeric_discrete,0,3039,20.125827814569536,1
day_21,publish_dow_slt,numeric_discrete,6,2749,18.205298013245034,2
day_21,publish_dow_slt,numeric_discrete,1,2375,15.728476821192054,3
day_21,publish_dow_slt,numeric_discrete,3,1747,11.56953642384106,4
day_21,publish_dow_slt,numeric_discrete,4,1735,11.490066225165563,5
day_21,publish_dow_slt,numeric_discrete,2,1729,11.450331125827814,6
day_21,publish_dow_slt,numeric_discrete,5,1726,11.43046357615894,7
day_21,publish_is_weekend,boolean,False,10625,70.36423841059603,1
day_21,publish_is_weekend,boolean,True,4475,29.635761589403973,2
day_21,publish_time_bucket,categorical,morning_afternoon,6148,40.71523178807947,1
day_21,publish_time_bucket,categorical,evening,5871,38.88079470198676,2
day_21,publish_time_bucket,categorical,late_night,1918,12.701986754966887,3
day_21,publish_time_bucket,categorical,early_morning,1163,7.701986754966887,4
day_21,topic_entertainment,boolean,False,11940,79.0728476821192,1
day_21,topic_entertainment,boolean,True,3160,20.927152317880793,2
day_21,topic_fashion,boolean,False,14906,98.71523178807946,1
day_21,topic_fashion,boolean,True,194,1.2847682119205297,2
day_21,topic_food,boolean,False,14715,97.45033112582782,1
day_21,topic_food,boolean,True,385,2.5496688741721854,2
day_21,topic_gaming,boolean,False,14157,93.75496688741723,1
day_21,topic_gaming,boolean,True,943,6.245033112582782,2
day_21,topic_health,boolean,False,14965,99.10596026490066,1
day_21,topic_health,boolean,True,135,0.8940397350993378,2
day_21,topic_hobby,boolean,False,14657,97.06622516556291,1
day_21,topic_hobby,boolean,True,443,2.933774834437086,2
day_21,topic_humour,boolean,False,14986,99.24503311258277,1
day_21,topic_humour,boolean,True,114,0.7549668874172185,2
day_21,topic_knowledge,boolean,False,14071,93.18543046357615,1
day_21,topic_knowledge,boolean,True,1029,6.814569536423841,2
day_21,topic_lifestyle,boolean,False,13418,88.86092715231788,1
day_21,topic_lifestyle,boolean,True,1682,11.139072847682119,2
day_21,topic_music,boolean,False,13154,87.11258278145695,1
day_21,topic_music,boolean,True,1946,12.887417218543046,2
day_21,topic_pet,boolean,False,14914,98.76821192052981,1
day_21,topic_pet,boolean,True,186,1.2317880794701987,2
day_21,topic_politics,boolean,False,10687,70.7748344370861,1
day_21,topic_politics,boolean,True,4413,29.225165562913908,2
day_21,topic_religion,boolean,False,14325,94.86754966887418,1
day_21,topic_religion,boolean,True,775,5.132450331125828,2
day_21,topic_society,boolean,False,14094,93.33774834437087,1
day_21,topic_society,boolean,True,1006,6.662251655629139,2
day_21,topic_sports,boolean,False,14714,97.44370860927152,1
day_21,topic_sports,boolean,True,386,2.556291390728477,2
day_21,topic_technology,boolean,False,14700,97.35099337748345,1
day_21,topic_technology,boolean,True,400,2.6490066225165565,2
day_21,topic_tourism,boolean,False,14384,95.25827814569537,1
day_21,topic_tourism,boolean,True,716,4.741721854304636,2
day_21,topic_vehicle,boolean,False,14550,96.35761589403974,1
day_21,topic_vehicle,boolean,True,550,3.642384105960265,2
day_21,topic_missing,boolean,False,15045,99.63576158940397,1
day_21,topic_missing,boolean,True,55,0.36423841059602646,2
day_30,category_name,categorical,News & Politics,3933,26.65898461329899,1
day_30,category_name,categorical,Education,2106,14.275062699112045,2
day_30,category_name,categorical,Entertainment,1909,12.93974106961296,3
day_30,category_name,categorical,Music,1370,9.286246865044397,4
